headline,label,category,pattern
"Ministry of Consumer Affairs notifies revised norms for packaged goods",0,Governance,Regulatory Update
"Election Commission of India reviews poll preparedness across five states",0,Governance,Administrative Meeting
"Government of India inaugurates 4-lane expressway section in Uttar Pradesh",0,Infrastructure,Project Launch
"Parliament passes Digital Personal Data Protection legislation with revisions",0,Governance,Legislative Update
"ICMR releases advisory on seasonal influenza surveillance and prevention",0,Health,Clinical Advisory
"FSSAI issues revised nutritional labeling guidelines for packaged edible oils",0,Health,Food Safety Regulation
"AIIMS New Delhi conducts multi-center study on diabetes prevalence",0,Health,Academic Research
"Ministry of Health reports 12% decline in maternal mortality ratio",0,Health,Public Health Statistic
"National Medical Commission notifies updated syllabus for postgraduate medicine",0,Health,Curricular Notice
"TCS reports 6.2% rise in consolidated net profit for second quarter",0,Tech,Quarterly Earnings
"Infosys announces collaboration with European telecommunications provider",0,Tech,Enterprise Contract
"Wipro appoints new regional chief executive for Asia-Pacific operations",0,Tech,Executive Leadership Change
"Ministry of Electronics and IT invites proposals for semiconductor incentives",0,Tech,Government Tender
"SEBI introduces tighter disclosure standards for initial public offerings",0,Finance,Market Regulation
"IMD predicts above-normal southwest monsoon rainfall over northwest India",0,Environment,Meteorological Forecast
"Indian Railways flags off 10 new Vande Bharat train routes",0,Infrastructure,Operational Expansion
"Sensex drops 420 points amid sustained foreign institutional fund outflows",0,Finance,Market Movement
"ISRO successfully conducts second landing experiment for reusable launch vehicle",0,Science,Mission Milestone
"NITI Aayog publishes annual SDG India Index evaluating state progress",0,Policy,Developmental Metric
"Archaeological Survey of India begins conservation work at Red Fort complex",0,Heritage,Public Works Update
"National Green Tribunal directs state authorities to submit Yamuna cleanup plan",0,Judiciary,Judicial Directive
"Delhi High Court dismisses public interest litigation challenging airport tariff",0,Judiciary,Court Ruling
"Coal India records 7.8% year-on-year growth in dry fuel production",0,Industry,Industrial Output Metric
"DGCA issues flight safety advisory to domestic air carriers for winter operations",0,Aviation,Safety Directive
